employeeid,firstname,lastname,email,department,position,hiredate,country,region,phonenumber,address,postalcode,emergencycontactname,emergencycontactphone,status,birthdate,nationality,passportnumber,lastlogin,userrole
8570b59f-a903-4e67-bc56-8b5324acb722,John Anderson,Steven Small,kevintran@example.org,Marketing,writer,stuff,Gambia,feel,8314369552,8474 Joe Avenue Apt. 929 South Wanda\, PW 00928,80567,Richard Riley,001-389-838-5335x84999,book,age,music,,high,worker
46707cd6-4ced-4164-a9df-14e9389641dd,Samantha Prince,Robert Burns,jenny20@example.org,Marketing,sort,but,American Samoa,attack,001-509-429-7352x5953,75193 Bennett Gateway Apt. 124 Kristinfort\, PA 32273,53075,Shannon Moran,001-953-759-5228,film,their,treatment,,itself,impact
97777f10-f2d2-493f-8e85-140d0f9aeb70,Marie Boyd,Gregory Harrell,dsantos@example.org,Marketing,effect,apply,Argentina,away,(427)239-3899,1156 Taylor Curve Apt. 070 Rogersview\, NC 04466,68139,Tyler Petersen PhD,620-990-1817,energy,save,value,,man,cut
2cd58759-e95d-4761-bc36-dc59e134edfc,Andrew Moreno,Kenneth Knight,porterarthur@example.com,Sales,another,likely,Togo,occur,257-935-3236x6185,60227 Allen Center Port Scott\, TX 23603,43895,April Hanson,811.214.9633,know,skill,environmental,,fish,require
8e4c3ab5-6d5d-4477-adc2-9178a0411612,Robert Clarke,Rachael Alvarez,fevans@example.org,Engineering,maybe,per,Uruguay,first,(410)587-0826x9718,86244 Brennan Knoll Suite 311 Lake Charles\, ND 92058,15551,Beth Soto,001-889-310-5045,woman,bill,sign,,reach,history
582b91ee-f8e8-435b-8c00-988a7ee1011a,Kevin Figueroa,Lisa Gill,melissa67@example.org,Sales,risk,mention,Tokelau,produce,(401)307-1261x5838,780 Butler Island Michaelhaven\, MA 67819,54531,Michael Smith,+1-674-700-5975x834,arm,receive,front,,society,must
61935990-abdd-4a8f-a4b0-5c89f10bce9c,Melissa Davis,Julia Cole,ccruz@example.org,Sales,factor,reflect,Reunion,positive,564.584.6735x7422,6541 Frederick Walk West Donald\, GA 87371,78189,Stephen Wood,+1-442-810-4208x418,fight,finally,herself,,affect,together
b2414482-5198-44d8-8643-3603c92a7d7c,John Hall,Sean Nguyen,nicolaskeller@example.net,Sales,number,manage,Solomon Islands,where,001-422-428-0194x425,9059 Price Station Suite 288 Lake Mary\, LA 59353,23829,Robert Smith,749-307-8725x50541,education,share,clearly,,professor,shoulder
4cc57e0d-2633-4018-a883-ac6e6a944054,Diane Mcdowell,Mary Ortiz,guerreroanthony@example.com,Sales,computer,capital,North Macedonia,between,(756)206-2953,03132 Davis Street Apt. 320 Port Ryan\, MS 69045,09221,Ryan Reed,+1-209-837-5770x796,officer,fast,send,,message,machine
89b5aab0-c121-49db-af12-b150605fb1eb,Colin Fletcher,James Weaver,kentkaren@example.com,Sales,really,white,Saint Vincent and the Grenadines,do,(537)231-1804x6741,77862 Duffy Squares Suite 272 Rodgerstown\, VA 32377,62978,Kurt Salazar,669-541-3512,mind,amount,whose,,rock,data
