EmployeeID,FirstName,LastName,Email,Department,Position,HireDate,Country,Region,PhoneNumber,Address,PostalCode,EmergencyContactName,EmergencyContactPhone,Status,BirthDate,Nationality,PassportNumber,LastLogin,UserRole
60,David Baker,Kim Sims,vallison@example.net,Marketing,inside,1984-09-10,Gabon,size,(987)485-9964x8628,"360 Heather Locks
New Carmen, MI 34344",4eaa80cf-5cba-4c83-a983-68850ed33d34,Jacqueline Smith MD,472-455-3107x371,force,2001-10-25,concern,1801635542,2021-12-25 06:35:05.713542,risk
27,Leah Lara,Mark Lewis,benjamin67@example.net,Sales,where,1931-09-29,Hong Kong,collection,8318954196,"845 Clifford Loaf
Port Brian, IA 01638",69cdb08d-1982-452f-a031-57f5f6a1f72e,Chad Pugh,6722508452,we,1938-03-13,bring,3485494364,2023-09-02 10:18:52.104052,tree
21,Brian Walker,Sara Harris,dhall@example.net,Engineering,course,1927-04-16,Cook Islands,today,650-857-3036x2792,"PSC 7968, Box 5909
APO AA 91696",4ae2dd3f-ebae-4dc3-8104-cc3f82888725,Virginia Lewis,+1-586-509-6925,believe,1997-11-02,both,3478940001,2021-11-11 14:26:53.835693,card
37,Derek Thomas,Sherry Figueroa,hendersonleslie@example.org,Marketing,resource,2023-04-21,United Kingdom,success,920.737.4767,"872 Melendez Bypass Apt. 177
West Debra, WV 12683",6b5f21fe-97fd-49dd-a135-9f65472f2e77,Brandon Conway,(301)409-9931x91400,ahead,2011-01-04,its,4618761475,2020-12-08 07:59:01.080508,major
35,Ricky Larson,Robert Jones,patricia67@example.org,Engineering,feel,1935-05-17,Latvia,painting,772.260.3214,"33973 Chavez Neck
North Timothy, IN 93118",f2c7530c-c2d6-43a7-9d8f-af30486946c5,Tony Woods,001-697-419-2288x7415,relationship,2015-06-14,occur,5248906313,2020-11-23 09:21:23.111355,base
34,Tammy Gonzales,Allison Love,pdean@example.com,Sales,explain,2015-01-20,Hong Kong,chair,(976)361-9458x870,"242 Debbie Street
Cliffordhaven, FM 95114",e70e695a-9b60-4d6f-814c-ad98a4c51b0d,James Wolfe,(543)845-0266x427,small,1953-11-18,smile,3909064988,2020-01-06 14:26:15.168319,radio
28,Eric Powell,Benjamin Thompson,bterry@example.org,Marketing,accept,1997-12-09,Iceland,team,(253)548-2012x840,"3236 Parker Bridge
New Coryport, LA 35687",aee52323-4054-4230-ae15-5a39c254cb40,Megan Lewis,+1-496-964-8110x5129,treatment,1925-08-27,in,1719439507,2020-04-27 23:41:40.534728,heart
26,Joshua Kim,Benjamin Underwood,jessica75@example.com,Marketing,investment,1911-07-07,Argentina,structure,+1-785-207-6597x5954,"02435 Heidi Inlet Suite 651
Lake Jillchester, TN 09037",aa0e0c70-f104-41ef-9580-ddc14eed751a,Mr. Jeffrey Lawrence,(543)806-7779,claim,1916-01-12,interesting,5525621693,2020-05-15 19:59:21.879774,week
63,Stacy Navarro,Jennifer Hayes,williammatthews@example.net,Sales,despite,2010-02-25,Puerto Rico,describe,791.977.6808x98126,"Unit 6409 Box 9414
DPO AA 46579",822c4d41-2f6a-49d2-ba59-a3bf8ad06522,Aimee Johnson,578.710.7082x408,to,1928-11-22,red,4530644787,2024-03-28 21:47:34.069257,strong
54,Allison Perez,Eugene Price,sandra72@example.com,Marketing,after,2017-11-23,Peru,thank,001-642-223-1964x6300,"70542 Roberson Course
New Reginaburgh, MS 10474",dde75749-113b-436a-85cc-0e88e50d2706,Tricia Cook,433-515-7920,fish,1949-12-27,television,1342194370,2023-03-13 03:45:57.195596,smile
25,Shannon Matthews,Aaron Cortez,rmoyer@example.net,Marketing,station,1922-08-18,Faroe Islands,room,(636)593-6268,"35659 White Ports
North Cynthia, HI 32202",cb8fb4b4-cc8d-4862-9b2e-59b016885dfc,Kimberly Aguilar,(861)262-0172x95126,charge,1945-06-11,animal,7820936982,2024-03-15 00:27:49.990447,usually
57,Phillip Underwood,Patrick Williams,laura29@example.org,Marketing,join,2018-04-26,Qatar,individual,4129047137,"9692 Ashley Fort Apt. 861
Christopherland, SC 71511",a1f99e05-71a5-42b0-9d2b-9a943df8e0cb,Angela Thompson,+1-486-996-1108x40390,happen,2024-01-17,college,2981327592,2021-07-19 14:31:31.317498,board
47,Pamela Thompson,Heather Shaw,hannah17@example.org,Marketing,realize,1911-04-19,Honduras,beat,717-759-5749,"093 Martinez Shoal
West Aaron, NE 88758",bef200aa-f114-4774-8598-5ebe2082c20b,Richard Walker,(273)860-8633x3995,any,1940-12-25,television,4213456940,2023-08-10 14:25:41.585633,stage
22,Jessica Ramirez,Michael Obrien,jamesobrien@example.org,Marketing,carry,2008-12-24,Grenada,than,629.984.9330x67458,"6334 Stephanie Glens
South Nathan, WA 69551",c475e2ad-476f-48e0-ae42-1baaaecf2f69,Lisa Owen,(267)560-5508x0050,fund,1938-12-29,nothing,2299868094,2023-06-16 16:55:12.428153,daughter
21,Jessica Olsen DVM,Timothy James,fhahn@example.com,Marketing,face,2007-06-08,Haiti,kind,001-460-394-4128x3337,"086 Cain Extensions Suite 382
Acevedoberg, OH 43724",987f94c5-b65e-4eb9-aefc-52727e3cb939,Michael Cox,7697250980,policy,1942-02-18,politics,4665380173,2020-10-27 02:27:48.355108,social
25,Jason Morris,Amanda Moore,jasonwilliams@example.org,Marketing,example,1932-07-17,Spain,up,001-488-956-6695x413,"3509 Martin Trace Suite 947
East Ashleychester, LA 43329",c7f8d098-2838-40ff-b5d2-5b12d128454d,Matthew Conner,(244)719-9412x43616,right,1931-07-23,region,7474513170,2022-08-03 19:30:18.723222,break
33,Christopher Jenkins,Paul Robles,nicole52@example.org,Engineering,maintain,1914-01-21,Malaysia,brother,+1-615-506-6626x70551,"6504 Martinez Plaza
North Benjamin, OR 77663",b78fe9f5-bf87-419f-b522-8d849409ecd4,Robert Cook,3293990761,in,1953-12-27,yard,8175087329,2021-08-17 09:39:44.096351,performance
34,Matthew Morales DDS,Elizabeth Walters,romanmatthew@example.org,Marketing,place,1959-03-21,Timor-Leste,more,476.793.6634x3925,"873 Odom Streets
Estradahaven, NE 56822",17a21432-931f-430c-baa8-75f15319f42c,Garrett Reyes,001-349-983-6784x9032,Democrat,1934-10-11,school,9686568812,2023-08-12 02:00:22.500091,experience
52,Brandon King,Stephen Sanford,davidwalker@example.com,Marketing,street,1931-05-23,Slovenia,off,001-861-911-1028,"0617 Monica Way Suite 901
Christineland, CO 03950",ea5ad562-4422-4701-9bf4-437cb7b3a950,Brittany Weaver,649.511.7675x500,born,2018-01-15,court,3523312445,2021-09-16 06:07:16.869815,never
